Date,Precipitation (mm),Enterococci (cfu/100ml)
26/09/2020,2.6,0
27/09/2020,0,0
28/09/2020,0,0
29/09/2020,0,0
30/09/2020,0,0
01/10/2020,2.6,0
02/10/2020,0,0
03/10/2020,0,0
04/10/2020,0,0
05/10/2020,0,0
06/10/2020,0,0
07/10/2020,0,0
08/10/2020,0.8,0
09/10/2020,0,0
10/10/2020,0,0
11/10/2020,0,0
12/10/2020,0,0
13/10/2020,0,0
14/10/2020,0,0
15/10/2020,0,0
16/10/2020,0,0
17/10/2020,0.2,0
18/10/2020,1.8,0
19/10/2020,4.4,0
20/10/2020,1,0
21/10/2020,1,0
22/10/2020,0,0
23/10/2020,0,0
24/10/2020,4.2,0
25/10/2020,16.6,0
26/10/2020,30.2,0
27/10/2020,4.6,0
28/10/2020,0,0
29/10/2020,19.8,0
30/10/2020,0.8,0
31/10/2020,6.6,0
01/11/2020,13.4,0
02/11/2020,10.2,0
03/11/2020,0,0
04/11/2020,0,0
05/11/2020,3.4,0
06/11/2020,28.8,0
07/11/2020,0.8,0
08/11/2020,0,0
09/11/2020,0.6,0
10/11/2020,0,5
11/11/2020,0,0
12/11/2020,0,0
13/11/2020,4.6,0
14/11/2020,0.2,0
15/11/2020,0,0
16/11/2020,0,2
17/11/2020,0,0
18/11/2020,0.8,0
19/11/2020,0.2,0
20/11/2020,0,0
21/11/2020,0,0
22/11/2020,0,0
23/11/2020,2.6,0
24/11/2020,1.4,0
25/11/2020,0,0
26/11/2020,0,0
27/11/2020,0,1
28/11/2020,0,0
29/11/2020,0,0
30/11/2020,0,0
01/12/2020,0,0
02/12/2020,5.2,10
03/12/2020,0.2,0
04/12/2020,0,0
05/12/2020,0,0
06/12/2020,7.4,0
07/12/2020,0,0
08/12/2020,0,2
09/12/2020,0,0
10/12/2020,0,0
11/12/2020,0,0
12/12/2020,0,0
13/12/2020,2.8,0
14/12/2020,3,2
15/12/2020,7.8,0
16/12/2020,4.6,0
17/12/2020,0.4,0
18/12/2020,0,0
19/12/2020,4.6,0
20/12/2020,8.2,0
21/12/2020,1,0
22/12/2020,27.8,0
23/12/2020,0,0
24/12/2020,0,0
25/12/2020,2.6,0
26/12/2020,8.2,0
27/12/2020,2,0
28/12/2020,0,0
29/12/2020,10,0
30/12/2020,30.4,0
31/12/2020,0,0
01/01/2021,0.6,0
02/01/2021,3,0
03/01/2021,11.8,0
04/01/2021,0.2,0
05/01/2021,15.8,0
06/01/2021,4.2,0
07/01/2021,1.4,0
08/01/2021,5.2,0
09/01/2021,0,0
10/01/2021,0,0
11/01/2021,0,0
12/01/2021,0,0
13/01/2021,0,0
14/01/2021,0,110
15/01/2021,1.6,0
16/01/2021,0,0
17/01/2021,0,0
18/01/2021,0,0
19/01/2021,0.6,0
20/01/2021,0.6,0
21/01/2021,0,0
22/01/2021,0,0
23/01/2021,0,0
24/01/2021,0,0
25/01/2021,0,0
26/01/2021,0,0
27/01/2021,0.4,0
28/01/2021,14,0
29/01/2021,5.8,0
30/01/2021,17.8,0
31/01/2021,0.8,0
01/02/2021,2.8,0
02/02/2021,11.6,0
03/02/2021,4.6,0
04/02/2021,0,0
05/02/2021,0,0
06/02/2021,0,0
07/02/2021,2.4,0
08/02/2021,0,8
09/02/2021,0,0
10/02/2021,0,0
11/02/2021,0,0
12/02/2021,0,0
13/02/2021,8.4,0
14/02/2021,12.4,0
15/02/2021,0,0
16/02/2021,7.8,0
17/02/2021,6.2,0
18/02/2021,0.6,160
19/02/2021,3.8,0
20/02/2021,1,0
21/02/2021,0.6,0
22/02/2021,0,0
23/02/2021,0,0
24/02/2021,42,0
25/02/2021,6.4,18
26/02/2021,1,0
27/02/2021,0,0
28/02/2021,0.6,0
01/03/2021,0,0
02/03/2021,0,3
03/03/2021,1.6,0
04/03/2021,3.4,0
05/03/2021,0,0
06/03/2021,0,0
07/03/2021,0,0
08/03/2021,0,4
09/03/2021,0,0
10/03/2021,0,0
11/03/2021,0.6,0
12/03/2021,0.8,0
13/03/2021,4.2,0
14/03/2021,22.4,0
15/03/2021,24.8,0
16/03/2021,0,0
17/03/2021,2.6,0
18/03/2021,0,0
19/03/2021,50.6,12
20/03/2021,42,0
21/03/2021,87.8,0
22/03/2021,24,0
23/03/2021,43.6,0
24/03/2021,16.4,11
25/03/2021,0,0
26/03/2021,9.2,0
27/03/2021,0,0
28/03/2021,0,0
29/03/2021,0,0
30/03/2021,3.8,0
31/03/2021,5.2,4
01/04/2021,6.2,0
02/04/2021,0,0
03/04/2021,0,0
04/04/2021,0,0
05/04/2021,0,0
06/04/2021,6.4,0
07/04/2021,0.4,0
08/04/2021,11,10
09/04/2021,0,0
10/04/2021,0,0
11/04/2021,0,0
12/04/2021,0,0
13/04/2021,0,0
14/04/2021,0,3
15/04/2021,0,0
16/04/2021,0,0
17/04/2021,0,0
18/04/2021,0,0
